No;Time;Read
1;0;1613
2;0;1635
3;0;4095
4;0;4095
5;0;4095
6;0;4095
7;0;4095
8;0;4095
9;0;4095
10;0;4095
11;0;4095
12;0;4095
13;0;4095
14;1;1937
15;1;1910
16;1;1909
17;1;1919
18;1;1935
19;1;4095
20;2;4095
21;3;2303
22;3;4095
23;4;4095
24;5;1856
25;5;4095
26;6;4095
27;7;662
28;7;4095
29;8;4095
30;9;1164
31;10;1522
32;10;4095
33;11;4095
34;12;2273
35;13;2321
36;13;4095
37;14;4095
38;15;4095
39;16;1354
40;17;846
41;17;4095
42;18;4095
43;19;1142
44;20;1495
45;20;4095
46;21;4095
47;22;4095
48;23;2320
49;23;2288
50;24;4095
51;25;4095
52;26;1277
53;27;760
54;27;4095
55;28;4095
56;29;1189
57;30;1535
58;30;4095
59;31;4095
60;32;4095
61;33;2311
62;34;2226
63;34;4095
64;35;4095
65;36;4095
66;37;736
67;37;4095
68;38;4095
69;39;4095
70;40;1535
71;41;1925
72;41;4095
73;42;4095
74;43;2290
75;44;2165
76;44;4095
77;45;4095
78;46;4095
79;47;684
80;47;2992
81;48;4095
82;49;4095
83;50;1600
84;51;1923
85;51;4095
86;52;4095
87;53;4095
88;54;2175
89;54;2009
90;55;4095
91;56;4095
92;57;673
93;58;741
94;58;4095
95;59;4095
96;60;1578
97;61;1898
98;61;4095
99;62;4095
100;63;4095
101;64;2175
102;64;2028
103;65;4095
104;66;4095
105;67;668
106;68;752
107;68;4095
108;69;4095
109;70;1583
110;71;1925
111;71;4095
112;72;4095
113;73;4095
114;74;2183
115;74;2271
116;75;4095
117;76;4095
118;77;686
119;77;753
120;78;4095
121;79;4095
122;80;1573
123;81;1904
124;81;4095
125;82;4095
126;83;4095
127;84;2171
128;84;4095
129;85;4095
130;86;4095
131;87;672
132;87;777
133;88;4095
134;89;4095
135;90;1569
136;91;1919
137;91;4095
138;92;4095
139;93;4095
140;94;2191
141;94;4095
142;95;4095
143;96;4095
144;97;688
145;97;801
146;98;4095
147;99;4095
148;100;1535
149;101;1908
150;101;2283
151;102;4095
152;103;4095
153;104;4095
154;105;4095
155;106;1303
156;107;730
157;107;881
158;108;4095
159;109;4095
160;110;4095
161;111;4095
162;112;2251
163;113;2331
164;113;2625
165;114;4095
166;115;4095
167;116;4095
168;117;4095
169;118;768
170;119;1053
171;119;3135
172;120;4095
173;121;4095
174;122;4095
175;123;4095
176;124;2155
177;125;1890
178;125;1514
179;126;4095
180;127;4095
181;128;4095
182;129;4095
183;130;4095
184;131;1966
185;132;2223
186;132;2411
187;133;4095
188;134;4095
189;135;4095
190;136;4095
191;137;4095
192;138;752
193;138;1121
194;139;4095
195;140;4095
196;141;4095
197;142;4095
198;143;4095
199;144;2175
200;145;1946
201;145;4095
202;146;4095
203;147;4095
204;148;4095
205;149;4095
206;150;1568
207;151;1923
208;151;2245
209;152;4095
210;153;4095
211;154;4095
212;155;4095
213;156;4095
214;157;736
215;157;764
216;158;4095
217;159;4095
218;160;4095
219;161;4095
220;162;2231
221;163;2313
222;163;2287
223;164;4095
224;165;4095
225;166;4095
226;167;4095
227;168;4095
228;169;1090
229;170;1490
230;170;4095
231;171;4095
232;172;4095
233;173;4095
234;174;4095
235;175;4095
236;176;1452
237;176;898
238;177;4095
239;178;4095
240;179;4095
241;180;4095
242;181;4095
243;182;2209
244;182;2352
245;183;4095
246;184;4095
247;185;4095
248;186;4095
249;187;4095
250;188;752
251;188;1056
252;189;4095
253;190;4095
254;191;4095
255;192;4095
256;193;4095
257;194;2185
258;195;1955
259;195;2558
260;196;4095
261;197;4095
262;198;4095
263;199;4095
264;200;4095
265;201;1909
266;201;2198
267;202;4095
268;203;4095
269;204;4095
270;205;4095
271;206;4095
272;207;4095
273;208;732
274;208;4095
275;209;4095
276;210;4095
277;211;4095
278;212;4095
279;213;4095
280;214;2215
281;214;2079
282;215;4095
283;216;4095
284;217;4095
285;218;4095
286;219;4095
287;220;1494
288;220;1875
289;221;4095
290;222;4095
291;223;4095
292;224;4095
293;225;4095
294;226;4095
295;227;788
296;227;4095
297;228;4095
298;229;4095
299;230;4095
300;231;4095
301;232;4095
302;233;2326
303;233;2291
304;234;4095
305;235;4095
306;236;4095
307;237;4095
308;238;4095
309;239;4095
310;239;1461
311;240;3635
312;241;4095
313;242;4095
314;243;4095
315;244;4095
316;245;4095
317;246;1444
318;246;880
319;247;4095
320;248;4095
321;249;4095
322;250;4095
323;251;4095
324;252;2211
325;252;2355
326;253;4095
327;254;4095
328;255;4095
329;256;4095
330;257;4095
331;258;4095
332;258;1040
333;259;1488
334;260;4095
335;261;4095
336;262;4095
337;263;4095
338;264;4095
339;265;4095
340;265;1525
341;266;4095
342;267;4095
343;268;4095
344;269;4095
345;270;4095
346;271;4095
347;271;2209
348;272;2371
349;273;4095
350;274;4095
351;275;4095
352;276;4095
353;277;4095
354;278;4095
355;278;1028
356;279;1721
357;280;4095
358;281;4095
359;282;4095
360;283;4095
361;284;4095
362;285;4095
363;285;1554
364;286;4095
365;287;4095
366;288;4095
367;289;4095
368;290;4095
369;291;4095
370;291;2210
371;292;2383
372;293;4095
373;294;4095
374;295;4095
375;296;4095
376;297;4095
377;298;4095
378;298;1009
379;299;4095
380;300;4095
381;301;4095
382;302;4095
383;303;4095
384;304;4095
385;304;4095
386;305;1581
387;306;4095
388;307;4095
389;308;4095
390;309;4095
391;310;4095
392;311;4095
393;311;2203
394;312;2407
395;313;4095
396;314;4095
397;315;4095
398;316;4095
399;317;4095
400;318;4095
401;318;1003
402;319;4095
403;320;4095
404;321;4095
405;322;4095
406;323;4095
407;324;4095
408;324;4095
409;325;1601
410;326;4095
411;327;4095
412;328;4095
413;329;4095
414;330;4095
415;331;4095
416;331;2189
417;332;2559
418;333;4095
419;334;4095
420;335;4095
421;336;4095
422;337;4095
423;337;4095
424;338;992
425;339;4095
426;340;4095
427;341;4095
428;342;4095
429;343;4095
430;343;4095
431;344;2000
432;345;4095
433;346;4095
434;347;4095
435;348;4095
436;349;4095
437;350;4095
438;350;1887
439;351;2216
440;352;4095
441;353;4095
442;354;4095
443;355;4095
444;356;4095
445;356;4095
446;357;714
447;358;4095
448;359;4095
449;360;4095
450;361;4095
451;362;4095
452;362;4095
453;363;2235
454;364;4095
455;365;4095
456;366;4095
457;367;4095
458;368;4095
459;369;4095
460;369;4095
461;370;1851
462;371;4095
463;372;4095
464;373;4095
465;374;4095
466;375;4095
467;375;4095
468;376;902
469;377;4095
470;378;4095
471;379;4095
472;380;4095
473;381;4095
474;381;4095
475;382;2307
476;383;2335
477;384;4095
478;385;4095
479;386;4095
480;387;4095
481;388;4095
482;388;4095
483;389;1417
484;390;4095
485;391;4095
486;392;4095
487;393;4095
488;394;4095
489;395;4095
490;395;4095
491;396;1018
492;397;4095
493;398;4095
494;399;4095
495;400;4095
496;401;4095
497;401;4095
498;402;2319
499;403;2439
500;404;4095
501;405;4095
502;406;4095
503;407;4095
504;408;4095
505;408;4095
506;409;1402
507;410;4095
508;411;4095
509;412;4095
510;413;4095
511;414;4095
512;414;4095
513;415;4095
514;416;1057
515;417;4095
516;418;4095
517;419;4095
518;420;4095
519;421;4095
520;421;4095
521;422;2318
522;423;3055
523;424;4095
524;425;4095
525;426;4095
526;427;4095
527;427;4095
528;428;4095
529;429;1397
530;430;4095
531;431;4095
532;432;4095
533;433;4095
534;434;4095
535;434;4095
536;435;4095
537;436;1085
538;437;4095
539;438;4095
540;439;4095
541;440;4095
542;441;4095
543;441;4095
544;442;2319
545;443;4095
546;444;4095
547;445;4095
548;446;4095
549;447;4095
550;447;4095
551;448;4095
552;449;1388
553;450;4095
554;451;4095
555;452;4095
556;453;4095
557;454;4095
558;454;4095
559;455;4095
560;456;1120
561;457;4095
562;458;4095
563;459;4095
564;460;4095
565;460;4095
566;461;4095
567;462;2314
568;463;4095
569;464;4095
570;465;4095
571;466;4095
572;467;4095
573;467;4095
574;468;4095
575;469;1377
576;470;4095
577;471;4095
578;472;4095
579;473;4095
580;473;4095
581;474;4095
582;475;4095
583;476;1155
584;477;4095
585;478;4095
586;479;4095
587;480;4095
588;480;4095
589;481;4095
590;482;2315
591;483;4095
592;484;4095
593;485;4095
594;486;4095
595;487;4095
596;487;4095
597;488;4095
598;489;1364
599;490;4095
600;491;4095
601;492;4095
602;493;4095
603;493;4095
604;494;4095
605;495;4095
606;496;1185
607;497;4095
608;498;4095
609;499;4095
610;500;4095
611;500;4095
612;501;4095
613;502;2314
614;503;4095
615;504;4095
616;505;4095
617;506;4095
618;506;4095
619;507;4095
620;508;4095
621;509;1355
622;510;4095
623;511;4095
624;512;4095
625;513;4095
626;513;4095
627;514;4095
628;515;4095
629;516;1216
630;517;4095
631;518;4095
632;519;4095
633;519;4095
634;520;4095
635;521;4095
636;522;2309
637;523;4095
638;524;4095
639;525;4095
640;526;4095
641;526;4095
642;527;4095
643;528;4095
644;529;1340
645;530;4095
646;531;4095
647;532;4095
648;533;4095
649;533;4095
650;534;4095
651;535;4095
652;536;1238
653;537;4095
654;538;4095
655;539;4095
656;539;4095
657;540;4095
658;541;4095
659;542;2315
660;543;4095
661;544;4095
662;545;4095
663;546;4095
664;546;4095
665;547;4095
666;548;4095
667;549;1329
668;550;4095
669;551;4095
670;552;4095
671;552;4095
672;553;4095
673;554;4095
