,Blank_750,,Mesure_750,,Mesure_690,,Blank_690
300,47347.05,300,4380462,300,3435516,300,13259.79
301,42342.64,301,4347985,301,3393834,301,16433.07
302,40411.91,302,4317071,302,3308665,302,9481.418
303,44186.21,303,4259255,303,3252611,303,14948.1
304,39394.71,304,4142006,304,3165671,304,12859.52
305,35130.52,305,4085443,305,3073619,305,10878.62
306,30702.6,306,3882705,306,3018266,306,16244.54
307,30764.33,307,3839857,307,3013347,307,12115.4
308,32932.33,308,3781166,308,2895860,308,11666.12
309,36156.5,309,3808311,309,2811197,309,10060.94
310,33204.48,310,3745161,310,2768794,310,13114.18
311,33513.79,311,3640459,311,2661140,311,10250.19
312,33895.73,312,3525729,312,2632408,312,13062.8
313,35185.68,313,3489333,313,2595404,313,11634.15
314,31893.71,314,3384750,314,2513209,314,11695.75
315,29809.33,315,3433022,315,2462610,315,9787.202
316,33415.96,316,3248394,316,2439611,316,11048.71
317,27193.84,317,3279338,317,2338741,317,12263.41
318,26225.61,318,3196155,318,2248785,318,10198.63
319,27869.53,319,3103638,319,2236395,319,9813.229
320,31466.81,320,3070838,320,2188308,320,8704.034
321,26411.95,321,2928762,321,2121554,321,9671.979
322,28833.72,322,2958337,322,2103437,322,9455.875
323,22730.92,323,2870832,323,2081956,323,9097.691
324,27600.17,324,2792895,324,2024018,324,9399.61
325,23957.15,325,2751215,325,1986826,325,7852.529
326,26156.75,326,2786122,326,1959871,326,10204.89
327,21334.52,327,2691525,327,1929427,327,9311.87
328,22142.71,328,2663504,328,1856541,328,9966.018
329,25757.21,329,2589337,329,1827044,329,6572.125
330,22429.75,330,2553852,330,1856561,330,8681.946
331,20670.46,331,2533176,331,1805100,331,9089.612
332,24412,332,2487576,332,1740740,332,8027.858
333,20303.98,333,2479482,333,1765143,333,9499.853
334,21340.37,334,2443031,334,1766320,334,7738.737
335,22521.25,335,2394232,335,1747904,335,7389.957
336,21362.42,336,2380263,336,1681484,336,4908.914
