,405,,480,,0,,650,,550
300,1047.504,300,1047.504,250,6697.6363,250,121.955,250,-13.5498
301,1059.502,301,961.3851,251,6693.63577,251,180.28007,251,35.11727
302,1065.729,302,888.0833,252,7224.2102,252,128.5838,252,-2.426
303,1025.28,303,939.2769,253,7490.4179,253,158.9155,253,35.8824
304,1184.654,304,1038.213,254,8063.9031,254,132.5623,254,70.3375
305,1190.005,305,904.0986,255,8247.6227,255,160.4759,255,85.967
306,1216.502,306,997.0995,256,9022.1661,256,172.8812,256,81.8887
307,1348.986,307,1075.138,257,9454.5437,257,209.137,257,117.24
308,1403.004,308,919.606,258,9772.7699,258,168.7495,258,56.2479
309,1528.829,309,964.7809,259,10167.2449,259,240.6429,259,182.198
310,1554.644,310,1066.162,260,10337.4814,260,217.8048,260,35.7039
311,1649.064,311,993.4838,261,10638.2456,261,108.906,261,54.4522
312,1821.386,312,1073.324,262,10742.8192,262,295.517,262,84.9563
313,1876.93,313,1007.343,263,11142.9223,263,272.5406,263,-23.3589
314,1872.123,314,1094.242,264,12026.2274,264,254.2714,264,49.2113
315,1933.098,315,1032.237,265,11836.7942,265,259.7371,265,127.803
316,1737.357,316,1137.208,266,12076.4017,266,286.4217,266,128.6773
317,1545.167,317,1036.996,267,11750.9456,267,213.9342,267,94.1284
318,1598.438,318,1091.028,268,12807.8606,268,335.169,268,123.4774
319,1348.571,319,831.4409,269,12722.6717,269,355.8167,269,130.6097
320,1384.631,320,998.0042,270,13163.9294,270,170.2391,270,128.8285
321,1277.005,321,1107.652,271,13145.4864,271,415.4443,271,160.5039
322,1239.975,322,1112.415,272,13454.9396,272,164.6985,272,33.9076
323,1278.83,323,916.4482,273,13338.9729,273,336.3643,273,116.991
324,1311.45,324,962.1579,274,13346.2356,274,338.9135,274,103.1426
325,1241.772,325,1184.996,275,14009.388,275,304.8362,275,127.0106
326,1216.215,326,1053.557,276,13911.6245,276,357.2715,276,210.1538
327,1148.118,327,935.4755,277,14318.4123,277,292.7472,277,101.1272
328,1378.793,328,1158.434,278,14738.2976,278,194.2552,278,53.9584
329,1115.709,329,1029.873,279,14905.1155,279,404.7311,279,164.073
330,1187.921,330,1043.91,280,15095.2032,280,288.452,280,155.3166
331,1242.47,331,1156.274,281,15555.2729,281,340.0236,281,183.942
332,1218.824,332,1147.117,282,15485.7414,282,319.6457,282,89.7214
333,1155.952,333,1012.335,283,15221.3069,283,334.843,283,79.4507
334,1302.108,334,1021.504,284,15853.2651,284,287.3574,284,218.389
335,1351.485,335,1107.03,285,15310.5193,285,409.7675,285,40.3971
336,1394.458,336,1035.01,286,15287.4146,286,319.1181,286,92.8307
337,1481.047,337,1223.429,287,15678.1768,287,188.1843,287,99.9714
338,1660.745,338,1247.268,288,15820.0618,288,298.166,288,77.5203
339,1694.383,339,1108.05,289,16479.1072,289,407.2432,289,194.4974
340,1535.122,340,1154.867,290,16313.2423,290,390.3647,290,223.0596
341,1637.481,341,1086.803,291,15954.2114,291,359.1506,291,260.0705
342,1797.448,342,1062.667,292,15647.4105,292,396.5754,292,173.4955
343,1819.651,343,1241.544,293,15984.1317,293,431.6072,293,143.8624
344,1835.606,344,1056.965,294,15992.109,294,353.8,294,157.9415
345,2002.542,345,1137.02,295,16571.625,295,392.3498,295,234.1384
346,2349.994,346,1024.351,296,16144.4568,296,247.4622,296,95.1755
347,2159.442,347,1054.449,297,16176.9663,297,307.3701,297,96.05
348,2544.32,348,948.5189,298,16723.677,298,349.1454,298,155.1711
349,2731.554,349,1251.107,299,16169.6043,299,337.1258,299,45.3803
350,2569.996,350,1174.422,300,16037.5191,300,253.7406,300,208.1959
351,2804.764,351,1246.288,301,16791.1185,301,379.3225,301,117.7161
352,3088.698,352,1212.591,302,16889.8407,302,539.4493,302,171.0353
353,3214.006,353,1129.479,303,16324.6878,303,423.3437,303,152.1329
354,3515.089,354,1383.251,304,16330.9944,304,319.4463,304,73.2038
355,3083.055,355,1256.5,305,16392.9942,305,398.8687,305,179.485
356,3328.465,356,1325.477,306,17067.089,306,232.6583,306,19.9415
357,3434.302,357,1424.234,307,16950.4758,307,253.756,307,-13.355
358,3568.848,358,1475.131,308,16559.5921,308,416.1841,308,107.3974
359,4051.087,359,1566.49,309,16351.4975,309,373.6861,309,156.2637
360,4006.867,360,1562.596,310,16622.9171,310,398.9459,310,185.7104
361,3808.416,361,1584.054,311,17124.1239,311,331.1633,311,137.9808
362,3911.74,362,1619.74,312,16567.2417,312,512.416,312,200.8026
363,3782.578,363,1554.625,313,16757.449,313,386.378,313,158.6857
364,4266.652,364,1482.854,314,16866.4731,314,412.913,314,220.2141
365,4581.213,365,1614.595,315,16387.3708,315,408.7406,315,214.756
366,4821.728,366,1590.681,316,16558.8525,316,390.6883,316,195.3387
367,4891.604,367,1445.123,317,16470.1423,317,306.2286,317,83.5142
368,5010.454,368,1422.13,318,16500.7299,318,305.7588,318,208.469
369,5442.792,369,1376.75,319,16801.3562,319,286.4651,319,230.5676
