Baseline 100%T,,blank,,DDAO-200uL+2000uL tampon,,DDAO-400uL+2000uL tampon,,DDAO-600uL+2000uL tampon1,,DDAO-600uL+2000uL tampon2,,DDAO-800uL+2000uL tampon3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,-0.003836955177,800,-5.063000208E-5,800,0.0002300059568,800,-0.0001420389599,800,-0.0001454547746,800,0.0001625425211,800,0.0002244634525,
799,-0.00344050792,799,-0.0001923936652,799,5.501116539E-5,799,2.202951691E-5,799,0.0001869110274,799,-2.795675528E-6,799,-0.0003557862947,
798,-0.003532335861,798,-8.386244008E-5,798,0.0002540674177,798,-0.000100632984,798,0.0001963635732,798,1.786168468E-5,798,0.0001473679295,
797,-0.003550925059,797,-0.0002150073997,797,0.0002347456175,797,-1.905165482E-5,797,0.000101691985,797,-0.0001715383114,797,9.655573194E-6,
796,-0.003330524778,796,-0.0001770756935,796,-8.220605378E-5,796,-0.0003425433242,796,0.0003030232911,796,-0.0001792492258,796,8.631239325E-5,
795,-0.003253607545,795,-0.0004456312163,795,0.0003744983987,795,-0.0002336356702,795,5.467460505E-5,795,-0.000138778385,795,-0.0001368634257,
794,-0.003393559018,794,-0.0003407844633,794,0.0006095502758,794,-0.0003329212195,794,-0.0001286342158,794,9.27334404E-5,794,0.0001718132698,
793,-0.003335148562,793,-0.000172987362,793,0.0001596422226,793,-0.0002693893621,793,4.633835488E-5,793,-7.055941387E-5,793,-2.433212831E-5,
792,-0.003222620813,792,-0.000331110612,792,0.000173159875,792,-0.0004825051874,792,-0.0001100531954,792,-0.0003469921649,792,7.55418223E-5,
791,-0.003563043661,791,-0.000185459241,791,0.0003568552202,791,4.897901454E-5,791,0.0002819379151,791,0.000329679373,791,7.94706466E-6,
790,-0.003433111357,790,-0.0004132540198,790,8.178147255E-5,790,2.148540716E-6,790,4.06428735E-5,790,-8.929741307E-5,790,0.0001284392783,
789,-0.003311772132,789,-0.0003629766288,789,7.393662236E-5,789,-9.726857388E-5,789,2.547254007E-5,789,-8.298248576E-5,789,0.000142240795,
788,-0.003472249256,788,-0.0002193540568,788,0.0003198353224,788,3.919312439E-5,788,0.000219154128,788,4.802112744E-5,788,-4.545338015E-5,
787,-0.003619883209,787,0.0001081391529,787,0.0004986687563,787,0.0003315445792,787,0.0002096233802,787,0.0003153019643,787,0.0002142074372,
786,-0.003523811232,786,-3.846484469E-5,786,0.0003472955432,786,0.0001129292723,786,0.0001827416127,786,0.000334238779,786,0.0001884130616,
785,-0.003580296645,785,-0.0001917209302,785,0.0005619854201,785,0.0001501127845,785,0.0003917536815,785,0.000144519523,785,0.0004480842035,
784,-0.003503474873,784,-0.0003261959937,784,0.0003366221208,784,-3.779334975E-6,784,0.0001589171443,784,-6.812652282E-5,784,-0.000110519024,
783,-0.003508456284,783,-0.0002275298175,783,0.0003834886884,783,3.675962944E-5,783,0.0001448561525,783,6.264856347E-5,783,0.0003145507362,
782,-0.003548768349,782,-0.000200000708,782,0.0003815455129,782,3.347184611E-5,782,0.0001473420416,782,6.953527918E-5,782,0.0002388378343,
781,-0.003571875626,781,-6.993825809E-5,781,0.0005155919935,781,0.0003105614451,781,0.0004108751891,781,0.0003979719768,781,0.0004589935998,
780,-0.003621526062,780,-8.510472253E-5,780,0.0006082541659,780,0.0004217836249,780,0.0002235051797,780,0.0004121188831,780,0.0003366221208,
779,-0.003570643254,779,-0.0001879432239,779,0.0006851204671,779,5.648685692E-5,779,0.0003896550334,779,0.000445726153,779,0.0004074809258,
778,-0.003567870473,778,0.0001012259308,778,0.0006641980144,778,-6.212587778E-6,778,0.0002517881221,778,0.0003083077609,778,0.0001437426836,
777,-0.003658696078,777,-5.953364598E-5,777,0.0007610667963,777,0.0001942658564,777,0.0002515291271,777,0.0003154315054,777,0.0002834661864,
776,-0.003569359425,776,-3.245978951E-5,776,0.0005286542582,776,0.0002343053202,776,0.0001182632041,776,6.0033708E-5,776,0.0003505338973,
775,-0.003811655333,775,9.162010247E-5,775,0.0007630634937,775,0.0001517182682,775,0.0005104087177,775,0.0004392221745,775,0.0003686431737,
774,-0.003799492493,774,0.0001370101527,774,0.0007932228618,774,0.0004626992159,774,0.0004836637818,774,0.0003615444584,774,0.0006077616708,
773,-0.003912332468,773,0.0002091313072,773,0.0007468047552,773,0.000549544231,773,0.0006540093455,773,0.0003842141305,773,0.0006481503369,
772,-0.00362553075,772,5.853211769E-5,772,0.0007826940855,772,0.0002429559827,772,0.0003585132945,772,0.0003195762984,772,3.383427975E-5,
771,-0.003779528197,771,0.0001559909724,771,0.0007718284614,771,0.0001377610897,771,0.0004121188831,771,0.0005925196456,771,0.000500638329,
770,-0.003659928218,770,-5.720422268E-5,770,0.0005818920326,770,-3.447874042E-5,770,0.0003067534999,770,0.0003192913427,770,0.0004554434854,
769,-0.003642113879,769,-5.21829752E-5,769,0.0005802590167,769,5.294003131E-5,769,0.0001168649833,769,0.0001420336484,769,0.0001921163785,
768,-0.003673173022,768,4.892723518E-5,768,0.0008130363422,768,0.0001402210328,768,0.0003673218598,768,0.0003903804754,768,0.0006129720714,
767,-0.003633488668,767,0.0001528058638,767,0.0007787523209,767,0.0001561981335,767,0.0002424379782,767,0.0002394594339,767,0.0003561298072,
766,-0.003705410985,766,0.0001790383685,766,0.0009466713527,766,8.336082101E-5,766,0.0003485908965,766,0.0004378229205,766,0.0004464517115,
765,-0.003733847989,765,0.0001473420416,765,0.0009026751504,765,0.0002224692143,765,0.0004568168661,765,0.0005061843549,765,0.0005532765645,
764,-0.003606277285,764,-6.31054063E-5,764,0.0007639970281,764,0.0001235972013,764,0.0004379783932,764,0.0002309642441,764,0.0005558425328,
763,-0.003471273463,763,-5.818775753E-5,763,0.0007655788795,763,0.0001252802758,763,0.0003134627477,763,-7.081823424E-5,763,0.0001867815299,
762,-0.003730357625,762,9.317359218E-5,762,0.0009886482731,762,0.0004134403425,762,0.0005082057905,762,0.0004330810334,762,0.0002564244205,
761,-0.003318348434,761,-0.0003522169427,761,0.0005543133011,761,-0.0002093670046,761,-3.587647006E-5,761,-4.400592388E-6,761,-4.369331509E-5,
760,-0.003546457738,760,-8.971150237E-5,760,0.0006565499934,760,-3.473757897E-5,760,0.0003656119516,760,0.0002892943739,760,0.0003316481889,
