,Ecxitation_750,,Excitation_690,,Emission_550,,Emission_600,,Blank_600
300,632942.3,300,2030251,560,129943.1,610,584783.6,300,9113.08
301,647009.2,301,2037314,561,80120.91,611,600664.3,301,9075.77
302,660754.2,302,2089789,562,46668.55,612,646370.2,302,9434.395
303,664608.4,303,2118900,563,29319.33,613,710596.4,303,8732.779
304,677969.5,304,2168127,564,23323.4,614,786762.2,304,8063.455
305,679583.9,305,2155388,565,21490.37,615,870145,305,7211.374
306,693700.2,306,2186083,566,21854.15,616,974951.8,306,7653.699
307,698688.4,307,2217324,567,20739.89,617,1079768,307,6886.608
308,715674.7,308,2278005,568,20425.57,618,1178840,308,7976.099
309,703578.9,309,2266376,569,20511.58,619,1314055,309,9218.703
310,725350.3,310,2295278,570,20668.09,620,1460187,310,8148.073
311,727049,311,2290521,571,20489.49,621,1598432,311,6403.37
312,716536.6,312,2291697,572,20793.53,622,1764503,312,7721.209
313,721553.9,313,2264834,573,21306.9,623,1948025,313,6762.649
314,711686.5,314,2291807,574,21317.12,624,2151471,314,7496.423
315,703950.8,315,2276571,575,21166.95,625,2334203,315,7018.409
316,707722.8,316,2229065,576,22870.67,626,2562234,316,6917.882
317,687353.2,317,2202927,577,22695.9,627,2791848,317,5246.735
318,675600.1,318,2166699,578,23118.59,628,3070381,318,6991.642
319,660186.3,319,2103629,579,24206.56,629,3384273,319,6577.578
320,620021.9,320,2030271,580,24902.19,630,3694496,320,6571.199
321,603188.2,321,1919279,581,26294.91,631,4014222,321,6328.097
322,566072.7,322,1840625,582,26808.22,632,4345967,322,5844.174
323,539397.8,323,1727574,583,28299.17,633,4727157,323,6521.998
324,499135.1,324,1601351,584,31189.47,634,5104305,324,6092.915
325,483376.6,325,1499519,585,31603.88,635,5500034,325,6280.692
326,434069.6,326,1367548,586,33751.95,636,5921632,326,5074.331
327,400036.4,327,1264239,587,36473.58,637,6364398,327,4674.576
328,366931.3,328,1188211,588,39775.11,638,6775508,328,5271.626
329,343974.9,329,1071495,589,41735.33,639,7235508,329,5180.495
330,310796.4,330,997476.8,590,45291.11,640,7668379,330,5266.636
331,288353.1,331,923634.6,591,50423.8,641,8065351,331,3765.246
332,268301.5,332,852895.6,592,54766.25,642,8467502,332,4363.892
333,253186.1,333,797280.6,593,59791.63,643,8922193,333,5310.712
334,240346.4,334,740163.1,594,65514.83,644,9364435,334,5296.95
335,226230.4,335,706863.3,595,70637.19,645,9767119,335,5368.03
336,215899,336,684700.4,596,78406.05,646,1.01E+07,336,5084.397
