wavelength;DO1-blank;DO1-blank2;DO1-blank3;1;DO16-blank5;3;DO3side2-blank7;2;blank;mppc
800;-0.001532847;-0.001413969;0.462405324;1.101.322.532;0.581985652;267.398.119;267.125.392;178.992.331;0.0003329952888;1.032.077.193
799;-0.000603397;-0.000319936;0.463849396;1.099.951.029;0.581937552;2.680.555.582;2.670.476.675;1.789.056.301;0.001669614459;1.034.105.659
798;-0.000692518;-0.00075082;0.462610304;1.098.592.401;0.582192302;2.686.817.646;2.671.041.012;1.789.758.086;0.001424508751;1.033.993.602
797;-0.000410099;-0.000436115;0.461962283;1.095.955.014;0.58082211;268.035.984;2.670.171.976;1.790.625.811;0.0008570493665;1.034.213.424
796;-0.000735212;-0.000441649;0.461604714;109.395.051;0.580190659;2.680.960.417;2.665.368.557;1.787.582.755;0.001044122153;1.033.156.991
795;-0.000550401;-0.00038465;0.460818291;1.094.013.929;0.579734087;2.681.261.063;2.670.113.325;1.790.298.223;0.001172040007;1.033.589.602
794;-0.000545696;-0.000222304;0.460645139;10.921.942;0.578422785;2.683.986.425;2.665.008.068;178.897.512;0.001261285623;1.034.387.589
793;-0.001158094;-0.000486073;0.458993137;1.090.762.019;0.577125728;2.686.074.972;2.671.437.025;1.789.412.618;0.001593716908;1.033.330.321
792;-0.000366494;-0.000344613;0.458530337;1.088.731.527;0.576553047;2.678.302.526;2.664.425.373;1.790.345.073;0.001033120207;1.034.066.319
791;-0.000282221;-0.00010379;0.458301872;108.820.045;0.576263666;2.688.813.925;2.670.109.034;178.973.937;0.001195530756;1.034.221.172
790;-0.000678769;-8.44E-06;0.457401544;1.085.741.282;0.575295925;2.685.646.772;2.674.338.341;1.791.077.137;0.001360027585;1.033.589.482
789;-0.000500863;-0.000573255;0.456398159;1.083.975.554;0.573952794;2.688.044.548;2.672.269.821;1.788.302.541;0.001372414059;1.034.439.921
788;-0.000651579;-0.000561311;0.456054777;1.081.683.397;0.573089182;2.689.104.319;2.674.496.889;1.790.975.213;0.001442429144;1.034.168.124
787;-0.00040172;-0.000374357;0.455545872;1.081.816.435;0.572593451;2.686.226.368;2.676.964.521;1.790.349.483;0.001778638107;1.033.854.604
786;-0.000678976;-0.000702081;0.455231339;1.079.439.044;0.571695566;2.683.969.259;2.666.643.858;1.791.458.964;0.00130952429;1.034.574.032
785;-0.00058892;-0.000511464;0.454619676;1.078.511.953;0.57142359;2.687.677.145;2.674.208.641;1.790.882.349;0.001474661753;1.034.619.212
784;-0.000258627;-0.000359045;0.453653842;1.077.132.463;0.570779562;2.682.077.885;2.674.821.377;1.792.391.062;0.001448013238;1.034.206.867
783;-0.000361787;-0.00040984;0.453315407;1.075.587.392;0.570190907;269.053.936;2.680.706.263;1.790.125.728;0.00145985675;1.034.729.242
782;-0.000707922;-0.000637362;0.452402294;107.395.649;0.569217682;2.685.586.691;2.678.757.429;1.793.315.649;0.00114382687;1.033.495.545
781;-0.000581837;-0.000469318;0.451863438;1.072.335.958;0.568527401;2.686.087.132;2.682.478.189;1.791.083.813;0.001192441909;1.034.334.421
780;-0.000569222;-0.000239793;0.45136255;1.071.671.009;0.567146957;2.687.287.569;2.682.257.891;1.790.905.237;0.001509857946;1.033.654.451
779;-0.000194722;-0.000562759;0.451166749;1.068.674.564;0.566886663;2.691.540.956;2.680.862.904;1.791.600.585;0.001734323567;1.034.666.896
