wavelength;DO1-blank;DO1-blank2;DO1-blank3;1;0.5;3;DO3side2-blank7;2;blank-do-mppc;do_mppc
800;"-0,001532847";"-0,001413969";"0,462405324";"1,101322532";"0,581985652";"2,67398119";"2,67125392";"1,78992331";"0,000332995";"1,032077193"
799;"-0,000603397";"-0,000319936";"0,463849396";"1,099951029";"0,581937552";"2,680555582";"2,670476675";"1,789056301";"0,001669614";"1,034105659"
798;"-0,000692518";"-0,00075082";"0,462610304";"1,098592401";"0,582192302";"2,686817646";"2,671041012";"1,789758086";"0,001424509";"1,033993602"
797;"-0,000410099";"-0,000436115";"0,461962283";"1,095955014";"0,58082211";"2,68035984";"2,670171976";"1,790625811";"0,000857049";"1,034213424"
796;"-0,000735212";"-0,000441649";"0,461604714";"1,09395051";"0,580190659";"2,680960417";"2,665368557";"1,787582755";"0,001044122";"1,033156991"
795;"-0,000550401";"-0,00038465";"0,460818291";"1,094013929";"0,579734087";"2,681261063";"2,670113325";"1,790298223";"0,00117204";"1,033589602"
794;"-0,000545696";"-0,000222304";"0,460645139";"1,0921942";"0,578422785";"2,683986425";"2,665008068";"1,78897512";"0,001261286";"1,034387589"
793;"-0,001158094";"-0,000486073";"0,458993137";"1,090762019";"0,577125728";"2,686074972";"2,671437025";"1,789412618";"0,001593717";"1,033330321"
792;"-0,000366494";"-0,000344613";"0,458530337";"1,088731527";"0,576553047";"2,678302526";"2,664425373";"1,790345073";"0,00103312";"1,034066319"
791;"-0,000282221";"-0,00010379";"0,458301872";"1,08820045";"0,576263666";"2,688813925";"2,670109034";"1,78973937";"0,001195531";"1,034221172"
790;"-0,000678769";0;"0,457401544";"1,085741282";"0,575295925";"2,685646772";"2,674338341";"1,791077137";"0,001360028";"1,033589482"
789;"-0,000500863";"-0,000573255";"0,456398159";"1,083975554";"0,573952794";"2,688044548";"2,672269821";"1,788302541";"0,001372414";"1,034439921"
788;"-0,000651579";"-0,000561311";"0,456054777";"1,081683397";"0,573089182";"2,689104319";"2,674496889";"1,790975213";"0,001442429";"1,034168124"
787;"-0,00040172";"-0,000374357";"0,455545872";"1,081816435";"0,572593451";"2,686226368";"2,676964521";"1,790349483";"0,001778638";"1,033854604"
786;"-0,000678976";"-0,000702081";"0,455231339";"1,079439044";"0,571695566";"2,683969259";"2,666643858";"1,791458964";"0,001309524";"1,034574032"
785;"-0,00058892";"-0,000511464";"0,454619676";"1,078511953";"0,57142359";"2,687677145";"2,674208641";"1,790882349";"0,001474662";"1,034619212"
784;"-0,000258627";"-0,000359045";"0,453653842";"1,077132463";"0,570779562";"2,682077885";"2,674821377";"1,792391062";"0,001448013";"1,034206867"
783;"-0,000361787";"-0,00040984";"0,453315407";"1,075587392";"0,570190907";"2,69053936";"2,680706263";"1,790125728";"0,001459857";"1,034729242"
782;"-0,000707922";"-0,000637362";"0,452402294";"1,07395649";"0,569217682";"2,685586691";"2,678757429";"1,793315649";"0,001143827";"1,033495545"
781;"-0,000581837";"-0,000469318";"0,451863438";"1,072335958";"0,568527401";"2,686087132";"2,682478189";"1,791083813";"0,001192442";"1,034334421"
780;"-0,000569222";"-0,000239793";"0,45136255";"1,071671009";"0,567146957";"2,687287569";"2,682257891";"1,790905237";"0,001509858";"1,033654451"
779;"-0,000194722";"-0,000562759";"0,451166749";"1,068674564";"0,566886663";"2,691540956";"2,680862904";"1,791600585";"0,001734324";"1,034666896"
778;"-0,000318126";0;"0,450162828";"1,067480683";"0,566172481";"2,688094378";"2,679059267";"1,790529013";"0,001397526";"1,033903122"
777;"-0,000751957";"-0,000253195";"0,449690044";"1,065847158";"0,566015244";"2,69329834";"2,684630632";"1,791505694";"0,001575297";"1,034615755"
