,blanc,,Coupe 694_665,,,Red 620,,,lime 550_15,
250,112.9097,250,6810.546,6697.6363,250,234.8647,121.955,250,99.3599,-13.5498
251,86.61823,251,6780.254,6693.63577,251,266.8983,180.28007,251,121.7355,35.11727
252,114.0158,252,7338.226,7224.2102,252,242.5996,128.5838,252,111.5898,-2.426
253,130.7061,253,7621.124,7490.4179,253,289.6216,158.9155,253,166.5885,35.8824
254,146.0739,254,8209.977,8063.9031,254,278.6362,132.5623,254,216.4114,70.3375
255,123.2103,255,8370.833,8247.6227,255,283.6862,160.4759,255,209.1773,85.967
256,145.5689,256,9167.735,9022.1661,256,318.4501,172.8812,256,227.4576,81.8887
257,126.7363,257,9581.28,9454.5437,257,335.8733,209.137,257,243.9763,117.24
258,178.6571,258,9951.427,9772.7699,258,347.4066,168.7495,258,234.905,56.2479
259,137.4951,259,10304.74,10167.2449,259,378.138,240.6429,259,319.6931,182.198
260,189.2186,260,10526.7,10337.4814,260,407.0234,217.8048,260,224.9225,35.7039
261,196.0144,261,10834.26,10638.2456,261,304.9204,108.906,261,250.4666,54.4522
262,169.9008,262,10912.72,10742.8192,262,465.4178,295.517,262,254.8571,84.9563
263,221.8977,263,11364.82,11142.9223,263,494.4383,272.5406,263,198.5388,-23.3589
264,188.6326,264,12214.86,12026.2274,264,442.904,254.2714,264,237.8439,49.2113
265,222.6058,265,12059.4,11836.7942,265,482.3429,259.7371,265,350.4088,127.803
266,219.9783,266,12296.38,12076.4017,266,506.4,286.4217,266,348.6556,128.6773
267,188.2444,267,11939.19,11750.9456,267,402.1786,213.9342,267,282.3728,94.1284
268,211.6594,268,13019.52,12807.8606,268,546.8284,335.169,268,335.1368,123.4774
269,220.6683,269,12943.34,12722.6717,269,576.485,355.8167,269,351.278,130.6097
270,207.0306,270,13370.96,13163.9294,270,377.2697,170.2391,270,335.8591,128.8285
271,174.6536,271,13320.14,13145.4864,271,590.0979,415.4443,271,335.1575,160.5039
272,280.9304,272,13735.87,13454.9396,272,445.6289,164.6985,272,314.838,33.9076
273,224.2171,273,13563.19,13338.9729,273,560.5814,336.3643,273,341.2081,116.991
274,216.0944,274,13562.33,13346.2356,274,555.0079,338.9135,274,319.237,103.1426
275,259.082,275,14268.47,14009.388,275,563.9182,304.8362,275,386.0926,127.0106
276,257.4155,276,14169.04,13911.6245,276,614.687,357.2715,276,467.5693,210.1538
277,271.4277,277,14589.84,14318.4123,277,564.1749,292.7472,277,372.5549,101.1272
278,318.3324,278,15056.63,14738.2976,278,512.5876,194.2552,278,372.2908,53.9584
279,196.8745,279,15101.99,14905.1155,279,601.6056,404.7311,279,360.9475,164.073
280,266.2368,280,15361.44,15095.2032,280,554.6888,288.452,280,421.5534,155.3166
281,261.9571,281,15817.23,15555.2729,281,601.9807,340.0236,281,445.8991,183.942
282,302.7886,282,15788.53,15485.7414,282,622.4343,319.6457,282,392.51,89.7214
283,295.0831,283,15516.39,15221.3069,283,629.9261,334.843,283,374.5338,79.4507
284,293.0749,284,16146.34,15853.2651,284,580.4323,287.3574,284,511.4639,218.389
285,248.1407,285,15558.66,15310.5193,285,657.9082,409.7675,285,288.5378,40.3971
286,330.6854,286,15618.1,15287.4146,286,649.8035,319.1181,286,423.5161,92.8307
287,352.8132,287,16030.99,15678.1768,287,540.9975,188.1843,287,452.7846,99.9714
288,327.9482,288,16148.01,15820.0618,288,626.1142,298.166,288,405.4685,77.5203
289,291.7228,289,16770.83,16479.1072,289,698.966,407.2432,289,486.2202,194.4974
290,297.3877,290,16610.63,16313.2423,290,687.7524,390.3647,290,520.4473,223.0596
291,260.0486,291,16214.26,15954.2114,291,619.1992,359.1506,291,520.1191,260.0705
292,254.0295,292,15901.44,15647.4105,292,650.6049,396.5754,292,427.525,173.4955
293,262.6883,293,16246.82,15984.1317,293,694.2955,431.6072,293,406.5507,143.8624
294,271.641,294,16263.75,15992.109,294,625.441,353.8,294,429.5825,157.9415
295,272.085,295,16843.71,16571.625,295,664.4348,392.3498,295,506.2234,234.1384
296,380.6732,296,16525.13,16144.4568,296,628.1354,247.4622,296,475.8487,95.1755
297,364.9637,297,16541.93,16176.9663,297,672.3338,307.3701,297,461.0137,96.05
298,342.643,298,17066.32,16723.677,298,691.7884,349.1454,298,497.8141,155.1711
299,382.4657,299,16552.07,16169.6043,299,719.5915,337.1258,299,427.846,45.3803
300,364.3109,300,16401.83,16037.5191,300,618.0515,253.7406,300,572.5068,208.1959
301,294.2715,301,17085.39,16791.1185,301,673.594,379.3225,301,411.9876,117.7161
302,302.5793,302,17192.42,16889.8407,302,842.0286,539.4493,302,473.6146,171.0353
303,317.4722,303,16642.16,16324.6878,303,740.8159,423.3437,303,469.6051,152.1329
304,319.4156,304,16650.41,16330.9944,304,638.8619,319.4463,304,392.6194,73.2038
305,265.8858,305,16658.88,16392.9942,305,664.7545,398.8687,305,445.3708,179.485
306,405.451,306,17472.54,17067.089,306,638.1093,232.6583,306,425.3925,19.9415
307,367.2442,307,17317.72,16950.4758,307,621.0002,253.756,307,353.8892,-13.355
308,349.0179,308,16908.61,16559.5921,308,765.202,416.1841,308,456.4153,107.3974
309,326.0925,309,16677.59,16351.4975,309,699.7786,373.6861,309,482.3562,156.2637
310,288.8629,310,16911.78,16622.9171,310,687.8088,398.9459,310,474.5733,185.7104
311,351.8261,311,17475.95,17124.1239,311,682.9894,331.1633,311,489.8069,137.9808
312,214.6383,312,16781.88,16567.2417,312,727.0543,512.416,312,415.4409,200.8026
313,310.451,313,17067.9,16757.449,313,696.829,386.378,313,469.1367,158.6857
314,268.3669,314,17134.84,16866.4731,314,681.2799,412.913,314,488.581,220.2141
315,332.4992,315,16719.87,16387.3708,315,741.2398,408.7406,315,547.2552,214.756
316,292.9875,316,16851.84,16558.8525,316,683.6758,390.6883,316,488.3262,195.3387
317,382.7477,317,16852.89,16470.1423,317,688.9763,306.2286,317,466.2619,83.5142
318,312.6801,318,16813.41,16500.7299,318,618.4389,305.7588,318,521.1491,208.469
319,300.4138,319,17101.77,16801.3562,319,586.8789,286.4651,319,530.9814,230.5676
320,323.2661,320,17506.13,17182.8639,320,660.6189,337.3528,320,590.3344,267.0683
321,486.7596,321,17161.74,16674.9804,321,585.5306,98.7710000000001,321,395.0461,-91.7135
322,297.5545,322,17256.9,16959.3455,322,588.0485,290.494,322,595.134,297.5795
323,340.9763,323,17260.35,16919.3737,323,603.8347,262.8584,323,504.3725,163.3962
324,306.4369,324,17473.3,17166.8631,324,698.4295,391.9926,324,505.9914,199.5545
325,326.3666,325,17117.94,16791.5734,325,588.9007,262.5341,325,532.1349,205.7683
326,296.9441,326,17377.79,17080.8459,326,728.2644,431.3203,326,516.1331,219.189
327,347.231,327,17673.98,17326.749,327,630.7101,283.4791,327,439.3592,92.1282
328,298.4561,328,17273.49,16975.0339,328,632.4725,334.0164,328,646.6866,348.2305
329,350.4097,329,18173.56,17823.1503,329,679.3969,328.9872,329,429.0778,78.6681
330,403.1292,330,17787.77,17384.6408,330,662.3076,259.1784,330,482.3206,79.1914
331,445.2289,331,17708.04,17262.8111,331,610.4086,165.1797,331,337.5072,-107.7217
332,415.7874,332,18527.77,18111.9826,332,688.2261,272.4387,332,508.9878,93.2004
333,315.8752,333,18323.58,18007.7048,333,674.8581,358.9829,333,423.5663,107.6911
334,366.8447,334,19660.85,19294.0053,334,740.921,374.0763,334,460.3601,93.5154
335,280.3195,335,19350.17,19069.8505,335,675.6791,395.3596,335,524.7185,244.399
336,330.5958,336,18582.04,18251.4442,336,769.0414,438.4456,336,459.9676,129.3718
337,371.9926,337,18805.39,18433.3974,337,672.4765,300.4839,337,450.6884,78.6958
338,313.5578,338,19005.76,18692.2022,338,620.0159,306.4581,338,434.7125,121.1547
339,393.1396,339,20328.3,19935.1604,339,650.4908,257.3512,339,571.8537,178.7141
340,358.6146,340,20448,20089.3854,340,631.1857,272.5711,340,631.1857,272.5711
341,371.7639,341,19900.73,19528.9661,341,514.7603,142.9964,341,521.9103,150.1464
342,299.5118,342,19104.95,18805.4382,342,577.6524,278.1406,342,477.8046,178.2928
343,299.6434,343,20318.51,20018.8666,343,734.8846,435.2412,343,535.0951,235.4517
344,407.0374,344,20042.69,19635.6526,344,764.126,357.0886,344,457.0276,49.9902
345,336.0627,345,19910.71,19574.6473,345,557.7383,221.6756,345,529.1342,193.0715
346,379.6202,346,20197.14,19817.5198,346,773.6083,393.9881,346,494.2305,114.6103
347,337.103,347,19972.34,19635.237,347,667.0642,329.9612,347,566.638,229.535
348,395.1858,348,20029.48,19634.2942,348,668.2486,273.0628,348,596.3879,201.2021
349,243.038,349,18762.45,18519.412,349,729.1636,486.1256,349,500.3904,257.3524
350,348.7272,350,18923.28,18574.5528,350,804.2591,455.5319,350,412.7829,64.0557
351,368.1757,351,18512.79,18144.6143,351,630.1702,261.9945,351,545.1968,177.0211
352,352.4543,352,16865.62,16513.1657,352,599.1932,246.7389,352,514.5951,162.1408
353,336.701,353,17579.65,17242.949,353,722.5439,385.8429,353,322.6711,-14.0299
354,300.3564,354,16894.96,16594.6036,354,768.4052,468.0488,354,440.0659,139.7095
355,284.5818,355,16886.18,16601.5982,355,617.7803,333.1985,355,492.8271,208.2453
356,386.5449,356,16938.08,16551.5351,356,593.6403,207.0954,356,510.8006,124.2557
357,302.6864,357,16874.07,16571.3836,357,584.759,282.0726,357,509.0787,206.3923
358,370.4384,358,16192.52,15822.0816,358,651.7239,281.2855,358,507.6479,137.2095
359,266.7314,359,16370.66,16103.9286,359,690.8088,424.0774,359,465.0836,198.3522
360,327.4717,360,15898.14,15570.6683,360,586.7425,259.2708,360,477.5735,150.1018
361,312.6733,361,16693.42,16380.7467,361,659.3665,346.6932,361,550.5962,237.9229
362,359.1223,362,16831.51,16472.3877,362,664.0673,304.945,362,413.3327,54.2104
363,339.377,363,16308.04,15968.663,363,617.6914,278.3144,363,475.1373,135.7603
364,346.8483,364,16429.07,16082.2217,364,652.9203,306.072,364,394.4577,47.6094
365,400.1852,365,16160.21,15760.0248,365,562.9859,162.8007,365,508.7181,108.5329
366,257.1659,366,16321.34,16064.1741,366,527.888,270.7221,366,487.2783,230.1124
367,357.8467,367,16310.38,15952.5333,367,526.6555,168.8088,367,546.9131,189.0664
368,330.2043,368,16475.5,16145.2957,368,464.9909,134.7866,368,545.8654,215.6611
369,290.1507,369,16354.79,16064.6393,369,587.0749,296.9242,369,425.113,134.9623
370,378.4617,370,15775.84,15397.3783,370,587.9855,209.5238,370,446.0486,67.5869
371,297.9518,371,15780.07,15482.1182,371,507.8881,209.9363,371,460.482,162.5302
372,339.327,372,16530.67,16191.343,372,556.514,217.187,372,583.6634,244.3364
373,283.5091,373,16320.24,16036.7309,373,594.0464,310.5373,373,533.2869,249.7778
