Time,Read
1,1167
1,1118
1,1085
1,1056
1,1016
1,978
1,945
1,918
1,885
1,858
1,826
1,800
1,4095
1,4095
1,4095
1,4095
1,4095
1,4095
1,4095
2,705
3,3759
3,4095
4,1435
5,1759
5,4095
6,2189
7,2303
8,4095
8,4095
9,1977
10,4095
10,4095
11,4095
12,694
13,4095
13,4095
14,4095
15,1841
16,2119
17,4095
17,4095
18,2199
19,1987
20,1822
20,4095
21,4095
22,702
23,912
23,4095
24,4095
25,1822
26,2107
27,4095
27,4095
28,2197
29,1999
30,2058
30,4095
31,4095
32,704
33,930
33,4095
34,4095
35,1834
36,2126
36,4095
37,4095
38,2207
39,2007
40,4095
40,4095
41,4095
42,690
43,944
43,4095
44,4095
45,1803
46,2111
46,4095
47,4095
48,2183
49,2013
50,4095
50,4095
51,4095
52,698
53,966
53,4095
54,4095
55,1789
56,2123
56,4095
57,4095
58,2209
59,2032
60,4095
60,4095
61,4095
62,704
63,1128
63,4095
64,4095
65,1824
66,2107
67,4095
67,4095
68,4095
69,1993
70,1744
70,4095
71,4095
72,706
73,910
73,4095
74,4095
75,1831
76,2112
77,4095
77,4095
78,4095
79,2013
80,1777
80,4095
81,4095
82,699
83,902
83,4095
84,4095
85,1808
86,2094
86,4095
87,4095
88,4095
89,2003
90,1815
90,4095
91,4095
92,697
93,912
93,4095
94,4095
95,1818
96,2111
96,4095
97,4095
98,4095
99,2032
100,2016
100,4095
101,4095
102,4095
103,4095
104,1390
105,1760
106,2094
107,4095
107,4095
108,4095
109,4095
110,4095
111,932
112,708
112,4095
113,4095
114,4095
115,4095
116,2151
117,2309
118,2301
119,4095
119,4095
120,4095
121,4095
122,4095
123,934
124,1296
125,4095
125,4095
126,4095
127,4095
128,4095
129,2007
130,1674
131,1284
131,4095
132,4095
133,4095
134,4095
135,4095
136,2125
137,2311
138,4095
138,4095
139,4095
140,4095
141,4095
142,688
143,880
143,4095
144,4095
145,4095
146,4095
147,4095
148,2246
149,2095
150,4095
150,4095
151,4095
152,4095
153,4095
154,1360
155,1744
156,2135
156,4095
157,4095
158,4095
159,4095
160,4095
161,1036
162,705
162,4095
163,4095
164,4095
165,4095
166,4095
167,2289
168,2273
169,4095
169,4095
170,4095
171,4095
172,4095
173,4095
174,1310
175,1735
175,4095
176,4095
177,4095
178,4095
179,4095
180,1644
181,1120
182,1654
182,4095
183,4095
184,4095
185,4095
186,4095
187,2285
188,2286
188,4095
189,4095
190,4095
191,4095
192,4095
193,4095
194,1340
195,1747
195,4095
196,4095
197,4095
198,4095
199,4095
200,1670
201,1158
202,4095
202,4095
203,4095
204,4095
205,4095
206,4095
207,2288
208,2306
208,4095
209,4095
210,4095
211,4095
212,4095
213,4095
214,1281
215,1840
215,4095
216,4095
217,4095
218,4095
219,4095
220,1680
221,1180
221,4095
222,4095
223,4095
224,4095
225,4095
226,4095
227,2279
228,2322
228,4095
229,4095
230,4095
231,4095
232,4095
233,4095
234,1265
235,2846
235,4095
236,4095
237,4095
238,4095
239,4095
240,1702
241,1230
241,4095
242,4095
243,4095
244,4095
245,4095
246,4095
247,2279
248,2370
248,4095
249,4095
250,4095
251,4095
252,4095
253,1023
254,1258
254,4095
255,4095
256,4095
257,4095
258,4095
259,4095
260,1718
261,1252
261,4095
262,4095
263,4095
264,4095
265,4095
266,4095
267,2277
267,2471
268,4095
269,4095
270,4095
271,4095
272,4095
273,868
273,2926
274,4095
275,4095
276,4095
277,4095
278,4095
279,2075
280,1776
280,4095
281,4095
282,4095
283,4095
284,4095
285,4095
286,2046
286,2323
287,4095
288,4095
289,4095
290,4095
291,4095
292,4095
293,832
293,4095
294,4095
295,4095
296,4095
297,4095
298,4095
299,2129
299,4095
300,4095
301,4095
302,4095
303,4095
304,4095
305,1680
306,2043
306,4095
307,4095
308,4095
309,4095
310,4095
311,4095
312,690
312,4095
313,4095
314,4095
315,4095
316,4095
317,4095
318,2291
318,2495
319,4095
320,4095
321,4095
322,4095
323,4095
324,4095
325,1654
325,4095
326,4095
327,4095
328,4095
329,4095
330,4095
331,1168
331,722
332,4095
333,4095
334,4095
335,4095
336,4095
337,2287
337,2363
338,4095
339,4095
340,4095
341,4095
342,4095
343,4095
344,1200
344,4095
345,4095
346,4095
347,4095
348,4095
349,4095
350,4095
350,1287
351,4095
352,4095
353,4095
354,4095
355,4095
356,4095
357,2288
357,2391
358,4095
359,4095
360,4095
361,4095
362,4095
363,4095
363,1200
364,4095
365,4095
366,4095
367,4095
368,4095
369,4095
370,4095
370,1322
371,4095
372,4095
373,4095
374,4095
375,4095
376,4095
377,2275
377,2507
378,4095
379,4095
380,4095
381,4095
382,4095
383,4095
383,1177
384,4095
385,4095
386,4095
387,4095
388,4095
389,4095
390,4095
390,1360
391,4095
392,4095
393,4095
394,4095
395,4095
396,4095
396,2287
397,3647
398,4095
399,4095
400,4095
401,4095
402,4095
403,4095
403,1173
404,4095
405,4095
406,4095
407,4095
408,4095
409,4095
409,4095
410,1392
411,4095
412,4095
413,4095
414,4095
415,4095
416,4095
416,2275
417,4095
418,4095
419,4095
420,4095
421,4095
422,4095
423,4095
423,1165
424,4095
425,4095
426,4095
427,4095
428,4095
429,4095
429,4095
430,1437
431,4095
432,4095
433,4095
434,4095
435,4095
436,4095
436,2266
437,4095
438,4095
439,4095
440,4095
441,4095
442,4095
442,4095
443,1152
444,4095
445,4095
446,4095
447,4095
448,4095
449,4095
449,4095
450,1469
451,4095
452,4095
453,4095
454,4095
455,4095
456,4095
456,2258
457,4095
458,4095
459,4095
460,4095
461,4095
462,4095
462,4095
463,1145
464,4095
465,4095
466,4095
467,4095
468,4095
469,4095
469,4095
470,1535
471,4095
472,4095
473,4095
474,4095
475,4095
475,4095
476,2257
477,4095
478,4095
479,4095
480,4095
481,4095
482,4095
482,4095
483,1129
484,4095
485,4095
486,4095
487,4095
488,4095
488,4095
489,4095
490,1610
491,4095
492,4095
493,4095
494,4095
495,4095
495,4095
496,2247
497,4095
498,4095
499,4095
500,4095
501,4095
502,4095
502,4095
503,1113
504,4095
505,4095
506,4095
507,4095
508,4095
508,4095
509,4095
510,1722
511,4095
512,4095
513,4095
514,4095
515,4095
515,4095
516,2239
517,4095
518,4095
519,4095
520,4095
521,4095
521,4095
522,4095
523,1104
524,4095
525,4095
526,4095
527,4095
528,4095
528,4095
529,4095
530,1820
